Year,Mo,Dy,tave,tmax,mxtm,tmin,mntm,vp,rhmax,rhmxtm,rhmin,rhmntm,sr,wrun,pp,st5mx,st5mxtm,st5mn,st5mntm,st15mx,st15mxtm,st15mn,st15mntm,volts,year,gust,gusttm,gusdir,etr_asce,next tave
2019,1,1,-13.535,-10.073,14:10,-16.997,23:50,0.153,0.83,05:10,0.595,15:00,5.319,62.924,0.0,,,,,-1.8030000000000002,00:00,-3.195,23:00,,2019.0,5.155,08:10,,0.324,
2019,1,2,-5.791,6.01,14:50,-17.590999999999998,04:00,0.209,0.8390000000000001,04:20,0.21600000000000003,15:10,7.388,27.234,0.508,,,,,-2.9410000000000003,19:00,-4.802,11:00,,2019.0,4.332,11:50,,0.521,
2019,1,3,1.374,13.444,13:50,-10.696,05:00,0.34,0.836,01:50,0.175,13:30,6.529,28.465,0.0,,,,,-1.979,22:00,-4.638999999999999,10:00,,2019.0,4.096,15:40,,0.7290000000000001,
2019,1,4,4.544,15.089,14:40,-6.0,06:00,0.429,0.815,06:00,0.20199999999999999,14:30,6.202000000000001,36.616,0.0,,,,,-0.963,23:00,-2.7680000000000002,10:00,,2019.0,4.096,12:30,,0.893,
2019,1,5,4.465,14.440999999999999,12:50,-5.51,06:40,0.39899999999999997,0.769,06:50,0.184,14:00,5.931,34.283,0.0,,,,,-0.35,23:00,-1.401,11:00,,2019.0,4.077,12:20,,0.867,
2019,1,6,6.484,15.185,14:20,-2.2159999999999997,05:00,0.461,0.7170000000000001,08:10,0.237,14:20,4.831,68.581,0.0,,,,,0.165,23:00,-0.306,00:00,,2019.0,12.309000000000001,19:50,,1.3869999999999998,
2019,1,7,3.951,11.057,13:50,-3.154,07:00,0.29600000000000004,0.525,07:20,0.20800000000000002,13:40,6.093999999999999,122.475,0.0,,,,,0.609,21:00,0.179,00:00,,2019.0,13.994000000000002,10:10,,1.871,
2019,1,8,0.073,6.257999999999999,14:20,-6.112,07:40,0.305,0.708,07:50,0.287,14:50,6.636,51.05,0.0,,,,,0.831,18:00,0.389,14:00,,2019.0,6.252000000000001,03:10,,0.7959999999999999,
2019,1,9,-1.611,4.053,14:20,-7.276,03:10,0.3,0.737,03:40,0.37,14:20,2.967,18.645,0.0,,,,,0.628,00:00,0.257,13:00,,2019.0,2.5869999999999997,15:10,,0.473,
2019,1,10,6.022,13.627,14:30,-1.5819999999999999,00:30,0.405,0.652,05:00,0.215,14:50,4.9,26.351999999999997,0.0,,,,,1.104,22:00,0.282,09:00,,2019.0,2.842,12:50,,0.8009999999999999,
