Date,Open,High,Low,Close,Adj Close,Volume
2014-02-04,10.600000,11.600000,10.350000,10.500000,6.152288,1539300
2014-02-05,10.750000,12.290000,10.650000,12.290000,7.201107,748000
2014-02-06,12.040000,14.130000,11.950000,13.890000,8.138598,296400
2014-02-07,14.000000,14.240000,13.500000,14.000000,8.203050,267800
2014-02-10,13.990000,14.210000,13.850000,14.170000,8.302657,85500
2014-02-11,14.240000,14.250000,13.640000,13.800000,8.085863,59100
2014-02-12,13.750000,13.850000,13.500000,13.650000,7.997974,86900
2014-02-13,13.400000,13.690000,12.550000,12.670000,7.423761,434900
2014-02-14,12.500000,13.460000,12.500000,12.800000,7.499932,1341900
2014-02-18,12.550000,13.050000,12.080000,12.320000,7.218685,1564900
2014-02-19,12.350000,12.470000,12.010000,12.130000,7.107357,1208600
2014-02-20,12.060000,12.300000,11.760000,12.200000,7.148373,797400
2014-02-21,12.110000,12.310000,12.000000,12.050000,7.060483,1141700
2014-02-24,12.000000,12.110000,11.830000,11.930000,6.990171,1106700
2014-02-25,11.800000,12.650000,11.800000,12.590000,7.376885,780700
2014-02-26,12.590000,13.910000,12.250000,13.100000,7.675713,1062200
2014-02-27,13.140000,13.420000,13.110000,13.300000,7.792899,521000
2014-02-28,13.290000,14.700000,13.170000,14.400000,8.437422,1090000
2014-03-03,14.350000,14.740000,14.030000,14.710000,8.619061,595000
2014-03-04,14.780000,15.250000,14.610000,14.950000,8.759685,410300
2014-03-05,14.940000,15.650000,14.500000,14.740000,8.636639,534800
2014-03-06,14.690000,14.850000,14.500000,14.550000,8.525313,201500
2014-03-07,14.760000,14.790000,14.500000,14.570000,8.537032,281000
2014-03-10,14.580000,15.150000,14.580000,14.980000,8.777264,244600
2014-03-11,14.930000,15.100000,13.830000,14.030000,8.220627,804100
2014-03-12,13.890000,14.260000,13.500000,14.050000,8.232348,347600
2014-03-13,14.180000,14.450000,13.670000,14.180000,8.308519,260100
2014-03-14,13.970000,14.250000,13.610000,13.690000,8.021411,307600
2014-03-17,13.660000,14.270000,13.550000,14.200000,8.320235,303500
2014-03-18,14.240000,15.000000,14.100000,14.800000,8.671795,484800
2014-03-19,15.230000,15.250000,14.660000,14.840000,8.695233,370200
2014-03-20,14.850000,15.160000,14.710000,14.950000,8.759685,455800
2014-03-21,15.000000,15.180000,14.880000,15.080000,8.835856,566100
